Municipality,Cluster,Benefit_Type,Rate_2023,Rate_2024,Rate_2025,Cumulative_Change_Pct,Trend,Z_Score
עיילבון,5.0,ילדים,130.6718255364052,126.7087276550999,124.71536170958136,-4.558338266395748,→ יציבה,-0.10060580505500605
עילוט,2.0,ילדים,149.12280701754386,148.859543817527,146.1182297835684,-2.0148341451364806,→ יציבה,0.7552556921508529
עין מאהל,2.0,ילדים,140.94997189432266,139.4751457928353,139.6337699746245,-0.9338078624698005,→ יציבה,-0.14440454365256755
עין נקובא,,ילדים,152.43568691844553,153.1982100552777,150.53218449062342,-1.2487249320039444,→ יציבה,
עין קנייא,3.0,ילדים,153.71621621621622,153.4280936454849,153.2125205930807,-0.32767891087497136,→ יציבה,1.5578148731627883
עכו,4.0,ילדים,129.5388175657061,128.3666135664802,126.6829865361077,-2.2046140942654704,→ יציבה,-0.80691662095511
עלי,,ילדים,153.44866322174792,152.0174482006543,151.3087891040647,-1.3945211856234374,→ יציבה,
עלי זהב,,ילדים,164.3781094527363,157.8259245423982,157.9892280071813,-3.886698458100954,→ יציבה,
עמנואל,2.0,ילדים,147.8886574512403,142.2158376728318,143.0194805194805,-3.2924613798493576,→ יציבה,0.3253322172948906
עספיא,4.0,ילדים,135.92233009708738,130.8554892385603,127.43535246191995,-6.243990688730327,↓ יורדת,-0.708740413588709
עפולה,5.0,ילדים,135.27968984888045,133.0981398332264,133.4341054253916,-1.3642731037826357,→ יציבה,0.6812107903178657
עפרה,,ילדים,133.25145839729814,134.5794392523364,135.45816733067727,1.6560486165935104,→ יציבה,
עראבה,2.0,ילדים,149.1135844541928,146.947518743306,145.80399887355674,-2.219506420391059,→ יציבה,0.711658991280273
ערד,4.0,ילדים,133.0909090909091,131.7666937855936,131.39900203289596,-1.2712416419497554,→ יציבה,-0.19152389851622953
ערערה,3.0,ילדים,141.17087101380295,140.4518228552564,140.21040871427243,-0.6803544475096497,→ יציבה,0.0510281233002553
ערערה-בנגב,1.0,ילדים,145.14590883082204,144.187123668365,144.52495974235106,-0.4278102589820427,→ יציבה,0.23946617802903994
עתלית,,ילדים,163.35731414868104,160.3739002932551,160.27531956735496,-1.8866584562727213,→ יציבה,
פדואל,,ילדים,140.63926940639269,134.0530814215025,136.6292134831461,-2.851305997373392,→ יציבה,
פוריידיס,2.0,ילדים,143.20087495442945,141.9280242809654,140.70675937208802,-1.7416901839008552,→ יציבה,0.004463044824908787
פסגות,,ילדים,135.21873619089703,135.3065539112051,136.231884057971,0.7492658899308464,→ יציבה,
פסוטה,4.0,ילדים,125.51319648093842,121.8303701544739,115.95055915244261,-7.618830207983812,↓ יורדת,-2.2073907522443763
פקיעין (בוקייעה),5.0,ילדים,132.53210405004938,132.4828263002944,128.7352608625424,-2.864847890797203,→ יציבה,0.25986170860882646
פרדס חנה-כרכור,,ילדים,144.14046549612087,142.3901038215153,141.01184068891283,-2.1705388534992895,→ יציבה,
